date,count
2018-11-04,37
2018-11-05,210
2018-11-06,225
2018-11-07,67
2018-11-08,184
2018-11-09,188
2018-11-10,33
2018-11-11,143
2018-11-12,95
2018-11-13,187
2018-11-14,235
2018-11-15,90
2018-11-16,209
2018-11-17,228
2018-11-18,232
2018-11-19,362
2018-11-20,223
2018-11-21,167
2018-11-22,172
2018-11-23,314
2018-11-24,169
2018-11-25,103
2018-11-26,229
2018-11-27,111
2018-11-28,225
2018-11-29,90
2018-11-30,139
2018-12-01,60
2018-12-02,66
2018-12-03,126
2018-12-04,146
2018-12-05,149
2018-12-06,87
2018-12-07,298
2018-12-08,91
2018-12-09,96
2018-12-10,90
2018-12-11,83
2018-12-12,101
2018-12-13,166
2018-12-14,101
2018-12-15,79
2018-12-16,108
2018-12-17,79
2018-12-18,71
2018-12-19,103
2018-12-20,158
2018-12-21,56
2018-12-22,81
2018-12-23,188
2018-12-24,180
2018-12-25,39
2018-12-26,53
2018-12-27,60
2018-12-28,73
2018-12-29,47
2018-12-30,202
2018-12-31,57
2019-01-01,110
2019-01-02,87
2019-01-03,45
2019-01-04,52
2019-01-05,41
2019-01-06,77
2019-01-07,15
2019-01-08,106
2019-01-09,87
2019-01-10,46
2019-01-11,77
2019-01-12,53
2019-01-13,63
2019-01-14,58
2019-01-15,59
2019-01-16,94
2019-01-17,107
2019-01-18,76
2019-01-19,88
2019-01-20,18
2019-01-21,32
2019-01-22,10
2019-01-23,84
2019-01-24,33
2019-01-25,55
2019-01-26,29
2019-01-27,63
2019-01-28,117
2019-01-29,59
2019-01-30,103
2019-01-31,77
2019-02-01,20
2019-02-02,22
2019-02-03,34
2019-02-04,20
2019-02-05,16
2019-02-06,38
2019-02-07,82
2019-02-08,36
2019-02-09,66
2019-02-10,64
2019-02-11,93
2019-02-12,28
2019-02-13,79
2019-02-14,66
2019-02-15,54
2019-02-16,117
2019-02-17,77
2019-02-18,67
2019-02-19,24
2019-02-20,26
2019-02-21,60
2019-02-22,52
2019-02-23,27
2019-02-24,81
2019-02-25,212
2019-02-26,100
2019-02-27,88
2019-02-28,89
2019-03-01,106
2019-03-02,42
2019-03-03,17
2019-03-04,94
2019-03-05,73
2019-03-06,44
2019-03-07,79
2019-03-08,18
2019-03-09,20
2019-03-10,61
2019-03-11,18
2019-03-12,25
2019-03-13,81
2019-03-14,29
2019-03-15,29
2019-03-16,31
