Date,Open,High,Low,Close,Adj Close,Volume
2015-08-27,0.751880,0.758323,0.751637,0.751880,0.751880,0
2015-08-28,0.758150,0.759590,0.752038,0.758150,0.758150,0
2015-08-31,0.755230,0.756979,0.750508,0.755401,0.755401,0
2015-09-01,0.760919,0.762259,0.755847,0.760861,0.760861,0
2015-09-02,0.754558,0.757576,0.750801,0.754546,0.754546,0
2015-09-03,0.753818,0.761151,0.752610,0.753864,0.753864,0
2015-09-04,0.758167,0.759994,0.752683,0.758265,0.758265,0
2015-09-07,0.753012,0.755059,0.751428,0.753239,0.753239,0
2015-09-08,0.752089,0.758438,0.751484,0.752038,0.752038,0
2015-09-09,0.757599,0.760190,0.754404,0.757576,0.757576,0
2015-09-10,0.752921,0.758323,0.752661,0.753063,0.753063,0
2015-09-11,0.755744,0.756773,0.751518,0.755624,0.755624,0
2015-09-14,0.755025,0.756201,0.753625,0.754865,0.754865,0
2015-09-15,0.754660,0.755995,0.753579,0.754660,0.754660,0
2015-09-16,0.755002,0.759561,0.754774,0.755059,0.755059,0
2015-09-17,0.759319,0.759474,0.757415,0.759417,0.759417,0
2015-09-18,0.758956,0.768468,0.758800,0.759013,0.759013,0
2015-09-21,0.756487,0.759013,0.754392,0.756487,0.756487,0
2015-09-22,0.754751,0.756544,0.752049,0.754774,0.754774,0
2015-09-23,0.753426,0.755687,0.750030,0.753409,0.753409,0
2015-09-24,0.750638,0.751597,0.745506,0.750469,0.750469,0
2015-09-25,0.749738,0.752004,0.748879,0.749681,0.749681,0
2015-09-28,0.750069,0.750920,0.747501,0.749963,0.749963,0
2015-09-29,0.746491,0.747731,0.744651,0.746436,0.746436,0
2015-09-30,0.745029,0.747831,0.744624,0.745212,0.745212,0
2015-10-01,0.750920,0.756430,0.750762,0.750920,0.750920,0
2015-10-02,0.755093,0.758438,0.754774,0.754962,0.754962,0
2015-10-05,0.759134,0.765462,0.759134,0.759474,0.759474,0
2015-10-06,0.764351,0.766612,0.761551,0.764351,0.764351,0
2015-10-07,0.766989,0.770713,0.765697,0.766636,0.766636,0
2015-10-08,0.765462,0.768403,0.765006,0.765398,0.765398,0
2015-10-09,0.769408,0.775194,0.769231,0.769320,0.769320,0
2015-10-12,0.772022,0.775194,0.770951,0.772201,0.772201,0
2015-10-13,0.768699,0.771486,0.764625,0.768580,0.768580,0
2015-10-14,0.768285,0.771486,0.767855,0.768167,0.768167,0
2015-10-15,0.774407,0.776820,0.772314,0.773994,0.773994,0
2015-10-16,0.777926,0.778210,0.772971,0.778028,0.778028,0
2015-10-19,0.774216,0.775092,0.769361,0.774180,0.774180,0
2015-10-20,0.768108,0.772977,0.766518,0.768049,0.768049,0
2015-10-21,0.770066,0.771188,0.762375,0.770084,0.770084,0
2015-10-22,0.761429,0.764351,0.760046,0.761412,0.761412,0
